""	"d"	"p"	"c"	"o"	"f"	"g"
"OTU_43"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_44"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_45"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
"OTU_46"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp18"	"Acidobacteria Gp18 [C]"	"Acidobacteria Gp18 [C]"	"Acidobacteria Gp18 [C]"
"OTU_47"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillales (is) XII"	"Exiguobacterium"
"OTU_48"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Enhydrobacter"
"OTU_49"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"
"OTU_50"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp2"	"Acidobacteria Gp2 [C]"	"Acidobacteria Gp2 [C]"	"Gp2"
"OTU_51"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_52"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_53"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Chitinophagaceae [F]"
