""	"d"	"p"	"c"	"o"	"f"	"g"
"OTU_305"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_306"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_307"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Xanthomonadaceae [F]"
"OTU_308"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Methylococcaceae"	"Methylosarcina"
"OTU_309"	"Bacteria"	"Actinobacteria"	"Actinobacteria [P]"	"Actinobacteria [P]"	"Actinobacteria [P]"	"Actinobacteria [P]"
"OTU_310"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_311"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_312"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_313"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_314"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiales [O]"	"Rhizobiales [O]"
"OTU_315"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_316"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales [O]"	"Clostridiales [O]"
"OTU_317"	"Bacteria"	"Verrucomicrobia"	"Spartobacteria"	"Spartobacteria [C]"	"Spartobacteria [C]"	"Spartobacteria genera (is)"
"OTU_318"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonadaceae [F]"
"OTU_319"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_320"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiales [O]"	"Burkholderiales [O]"
"OTU_321"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp10"	"Acidobacteria Gp10 [C]"	"Acidobacteria Gp10 [C]"	"Acidobacteria Gp10 [C]"
"OTU_322"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_323"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"
"OTU_324"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"
"OTU_325"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_326"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_327"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_328"	"Bacteria"	"Chlamydiae"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"
"OTU_329"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_330"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Desulfuromonadales [O]"	"Desulfuromonadales [O]"
"OTU_331"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"
"OTU_332"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_333"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_334"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_335"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_336"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_337"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_338"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Desulfuromonadales [O]"	"Desulfuromonadales [O]"
"OTU_339"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_340"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_341"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_342"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_343"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_344"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_345"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_346"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_347"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp4"	"Acidobacteria Gp4 [C]"	"Acidobacteria Gp4 [C]"	"Gp4"
"OTU_348"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobulbaceae"	"Desulfobulbus"
"OTU_349"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_350"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp5"	"Acidobacteria Gp5 [C]"	"Acidobacteria Gp5 [C]"	"Acidobacteria Gp5 [C]"
"OTU_351"	"Bacteria"	"Ignavibacteriae"	"Ignavibacteria"	"Ignavibacteria [C]"	"Ignavibacteria [C]"	"Ignavibacteria [C]"
"OTU_352"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_353"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_354"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
